Title,Publication link,Author,publication Date
Deep Learning Based Forecasting of COVID-19 Hospitalisation in England: A Comparative Analysis,https://pureportal.coventry.ac.uk/en/publications/deep-learning-based-forecasting-of-covid-19-hospitalisation-in-en,"[{'name': 'Michael Ajao-olarinoye', 'link': 'https://pureportal.coventry.ac.uk/en/persons/michael-ajao-olarinoye'}, {'name': 'Vasile Palade', 'link': 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade'}, {'name': 'Fei He', 'link': 'https://pureportal.coventry.ac.uk/en/persons/fei-he'}, {'name': 'Petra A Wark', 'link': 'https://pureportal.coventry.ac.uk/en/persons/petra-wark'}, {'name': 'Seyed Mousavi'}]",19 Mar 2024
Effective Natural Language Processing Algorithms for Early Alerts of Gout Flares from Chief Complaints,https://pureportal.coventry.ac.uk/en/publications/effective-natural-language-processing-algorithms-for-early-alerts,"[{'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Lucas Lopes Oliveira'}, {'name': 'Xiaorui Jiang'}, {'name': 'Aryalakshmi Nellippillipathil Babu'}, {'name': 'Poonam Karajagi'}]",10 Mar 2024
Forecasting global climate drivers using Gaussian processes and convolutional autoencoders,https://pureportal.coventry.ac.uk/en/publications/forecasting-global-climate-drivers-using-gaussian-processes-and-c,"[{'name': 'James Donnelly', 'link': 'https://pureportal.coventry.ac.uk/en/persons/james-donnelly'}, {'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Soroush Abolfathi'}]",1 Feb 2024
Integrating Machine Learning in Pedestrian Forensics: A Comprehensive Tool for Analysing Pedestrian Collisions,https://pureportal.coventry.ac.uk/en/publications/integrating-machine-learning-in-pedestrian-forensics-a-comprehens,"[{'name': 'Vadhiraj Shrinivas', 'link': 'https://pureportal.coventry.ac.uk/en/persons/vadhiraj-shrinivas'}, {'name': 'Christophe Bastien', 'link': 'https://pureportal.coventry.ac.uk/en/persons/christophe-bastien'}, {'name': 'Huw Davies', 'link': 'https://pureportal.coventry.ac.uk/en/persons/huw-davies'}, {'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Joseph Hardwicke'}, {'name': 'Clive Edward Neal-Sturgess'}, {'name': 'Albi Lamaj'}]",9 Apr 2024
LightPRA: A Lightweight Temporal Convolutional Network for Automatic Physical Rehabilitation Exercise Assessment,https://pureportal.coventry.ac.uk/en/publications/lightpra-a-lightweight-temporal-convolutional-network-for-automat,"[{'name': 'Sara Sardari', 'link': 'https://pureportal.coventry.ac.uk/en/persons/sara-sardari'}, {'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Vasile Palade', 'link': 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade'}, {'name': 'Michael J Duncan', 'link': 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan'}, {'name': 'Sara Sharifzadeh'}, {'name': 'Seng W Loke'}, {'name': 'Bahareh Nakisa'}]",May 2024
Locally correct confidence intervals for a binomial proportion: A new criteria for an interval estimator,https://pureportal.coventry.ac.uk/en/publications/locally-correct-confidence-intervals-for-a-binomial-proportion-a-,"[{'name': 'Maha W. Moustafa', 'link': 'https://pureportal.coventry.ac.uk/en/persons/maha-moustafa'}, {'name': 'Paul H. Garthwaite'}, {'name': 'Fadlalla G. Elfadaly'}]",Mar 2024
Machine Learning Approaches for Region-level Prescription Demand Forecasting,https://pureportal.coventry.ac.uk/en/publications/machine-learning-approaches-for-region-level-prescription-demand-,"[{'name': 'Xu Wang', 'link': 'https://pureportal.coventry.ac.uk/en/persons/xu-wang'}, {'name': 'Long Chen', 'link': 'https://pureportal.coventry.ac.uk/en/persons/long-chen'}, {'name': 'Dingchang Zheng', 'link': 'https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2'}, {'name': 'Jiangtao Wang'}]",1 Mar 2024
Physics-informed neural networks as surrogate models of hydrodynamic simulators,https://pureportal.coventry.ac.uk/en/publications/physics-informed-neural-networks-as-surrogate-models-of-hydrodyna,"[{'name': 'James Donnelly', 'link': 'https://pureportal.coventry.ac.uk/en/persons/james-donnelly'}, {'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Soroush Abolfathi'}]",20 Feb 2024
Pore-scale modeling of solute transport in partially-saturated porous media,https://pureportal.coventry.ac.uk/en/publications/pore-scale-modeling-of-solute-transport-in-partially-saturated-po-2,"[{'name': 'Ali Saeibehrouzi', 'link': 'https://pureportal.coventry.ac.uk/en/persons/ali-saeibehrouzi'}, {'name': 'Ran Holtzman', 'link': 'https://pureportal.coventry.ac.uk/en/persons/ran-holtzman'}, {'name': 'Soroush Abolfathi'}, {'name': 'Petr Denissenko'}]",16 Jul 2024
Solute Transport in Unsaturated Porous Media with Spatially Correlated Disorder,https://pureportal.coventry.ac.uk/en/publications/solute-transport-in-unsaturated-porous-media-with-spatially-corre,"[{'name': 'Ali Saeibehrouzi', 'link': 'https://pureportal.coventry.ac.uk/en/persons/ali-saeibehrouzi'}, {'name': 'Ran Holtzman', 'link': 'https://pureportal.coventry.ac.uk/en/persons/ran-holtzman'}, {'name': 'Petr Denissenko'}, {'name': 'Soroush Abolfathi'}]",14 Jul 2024
Toward Population Health Intelligence: When Artificial Intelligence Meets Population Health Research,https://pureportal.coventry.ac.uk/en/publications/toward-population-health-intelligence-when-artificial-intelligenc,"[{'name': 'Long Chen', 'link': 'https://pureportal.coventry.ac.uk/en/persons/long-chen'}, {'name': 'Deborah Lycett', 'link': 'https://pureportal.coventry.ac.uk/en/persons/deborah-lycett'}, {'name': 'Dingchang Zheng', 'link': 'https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2'}, {'name': 'Jiangtao Wang'}, {'name': 'Duncan Vernon'}]",3 Jun 2024
Uncertainty Quantification of Hydro-morphodynamic Models using Probabilistic Surrogate Models,https://pureportal.coventry.ac.uk/en/publications/uncertainty-quantification-of-hydro-morphodynamic-models-using-pr,"[{'name': 'Majdi Fanous', 'link': 'https://pureportal.coventry.ac.uk/en/persons/majdi-fanous'}, {'name': 'Omid Chatrabgoun', 'link': 'https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun'}, {'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Mohsen Esmaeilbeigi'}, {'name': 'Hamed Yazdani Nezhad'}]",2024
An iterated greedy algorithm with variable reconstruction size for the obnoxious p-median problem,https://pureportal.coventry.ac.uk/en/publications/an-iterated-greedy-algorithm-with-variable-reconstruction-size-fo,"[{'name': 'Matthew England', 'link': 'https://pureportal.coventry.ac.uk/en/persons/matthew-england'}, {'name': 'Seyed Mousavi'}, {'name': 'Soni Bhambar'}]",3 Jul 2023
A novel algorithm for classification using a low rank approximation of kernel-based support vector machines with applications,https://pureportal.coventry.ac.uk/en/publications/a-novel-algorithm-for-classification-using-a-low-rank-approximati,"[{'name': 'O. Chatrabgoun', 'link': 'https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun'}, {'name': 'A. Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'M. Esmaeilbeigi'}, {'name': 'A. Kamandi'}, {'name': 'N. Salimi'}]",28 Jul 2023
Artificial Intelligence for skeleton-based physical rehabilitation action evaluation: A systematic review,https://pureportal.coventry.ac.uk/en/publications/artificial-intelligence-for-skeleton-based-physical-rehabilitatio,"[{'name': 'Sara Sardari', 'link': 'https://pureportal.coventry.ac.uk/en/persons/sara-sardari'}, {'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Vasile Palade', 'link': 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade'}, {'name': 'Michael Duncan', 'link': 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan'}, {'name': 'Sara Sharifzadeh'}, {'name': 'Bahareh Nakisa'}, {'name': 'Seng W. Loke'}]",May 2023
Beneath the bonnet of online privacy: Monitoring GDPR compliance through citizen science,https://pureportal.coventry.ac.uk/en/publications/beneath-the-bonnet-of-online-privacy-monitoring-gdpr-compliance-t,"[{'name': 'Huma Shah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/huma-shah'}, {'name': 'Ian Marshall', 'link': 'https://pureportal.coventry.ac.uk/en/persons/ian-marshall'}]",Sept 2023
Causal Analysis of Influence of the Solar Cycle and Latitudinal Solar-Wind Structure on Co-Rotation Forecasts,https://pureportal.coventry.ac.uk/en/publications/causal-analysis-of-influence-of-the-solar-cycle-and-latitudinal-s,"[{'name': 'Nachiketa Chakraborty', 'link': 'https://pureportal.coventry.ac.uk/en/persons/nachiketa-chakraborty'}, {'name': 'Harriet Turner'}, {'name': 'Mathew Owens'}, {'name': 'Matthew  Lang'}]",13 Dec 2023
Core manufacturing ontology to model manufacturing operations and sequencing knowledge,https://pureportal.coventry.ac.uk/en/publications/core-manufacturing-ontology-to-model-manufacturing-operations-and,"[{'name': 'Nazaraf Shah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/nazaraf-shah'}, {'name': 'Sattam Saha'}, {'name': 'W.D. Li'}, {'name': 'Z. Usman'}]",Mar 2023
Correlation distances in social networks,https://pureportal.coventry.ac.uk/en/publications/correlation-distances-in-social-networks,"[{'name': 'Thierry Platini', 'link': 'https://pureportal.coventry.ac.uk/en/persons/thierry-platini'}, {'name': 'Pádraig MacCarron'}, {'name': 'Shane Mannion'}]",14 Jun 2023
Data-Driven Design for Anomaly Detection in Network Access Control Systems,https://pureportal.coventry.ac.uk/en/publications/data-driven-design-for-anomaly-detection-in-network-access-contro,"[{'name': 'Kabiru Mohammed', 'link': 'https://pureportal.coventry.ac.uk/en/persons/kabiru-mohammed'}, {'name': 'Musa Abubakar Muhammad'}, {'name': 'Fabio Caraffini'}, {'name': 'Adebamigbe Fasanmade'}, {'name': 'Olabayo Ishola'}, {'name': 'Jarrad Morden'}]",15 Mar 2023
Deep Learning Techniques for Radar-Based Continuous Human Activity Recognition,https://pureportal.coventry.ac.uk/en/publications/deep-learning-techniques-for-radar-based-continuous-human-activit,"[{'name': 'Ruchita Mehta', 'link': 'https://pureportal.coventry.ac.uk/en/persons/ruchita-mehta'}, {'name': 'Vasile Palade', 'link': 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade'}, {'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Sara Sharifzadeh'}, {'name': 'Bo Tan'}, {'name': 'Yordanka Karayaneva'}]",14 Oct 2023
Diabetic Retinopathy Detection Using Transfer and Reinforcement Learning with Effective Image Preprocessing and Data Augmentation Techniques,https://pureportal.coventry.ac.uk/en/publications/diabetic-retinopathy-detection-using-transfer-and-reinforcement-l,"[{'name': 'Maria Tariq', 'link': 'https://pureportal.coventry.ac.uk/en/persons/maria-tariq'}, {'name': 'Vasile Palade', 'link': 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade'}, {'name': 'YingLiang Ma'}, {'name': 'Abdulrahman Altahhan'}]",7 Feb 2023
Editorial: Women in language and computation 2022,https://pureportal.coventry.ac.uk/en/publications/editorial-women-in-language-and-computation-2022,"[{'name': 'Huma Shah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/huma-shah'}, {'name': 'Róisín Loughran'}, {'name': 'Johanna Monti'}, {'name': 'Maayan Zhitomirsky-Geffet'}]",17 Oct 2023
Effective Natural Language Processing Algorithms for Gout Flare Early Alert from Chief Complaints,https://pureportal.coventry.ac.uk/en/publications/effective-natural-language-processing-algorithms-for-gout-flare-e,"[{'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Lucas Lopes Oliveira'}, {'name': 'Aryalakshmi Nellippillipathil Babu'}, {'name': 'Xiaorui Jiang'}, {'name': 'Poonam Karajagi'}]",Nov 2023
Efficacy of the 4F Feedback Model: A Game-Based Assessment in University Education,https://pureportal.coventry.ac.uk/en/publications/efficacy-of-the-4f-feedback-model-a-game-based-assessment-in-univ,"[{'name': 'Petros Lameras', 'link': 'https://pureportal.coventry.ac.uk/en/persons/petros-lameras'}, {'name': 'Ian Dunwell', 'link': 'https://pureportal.coventry.ac.uk/en/persons/ian-dunwell'}, {'name': 'Sylvester Arnab', 'link': 'https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab'}, {'name': 'Sara de Freitas'}, {'name': 'Victoria Uren'}, {'name': 'Kristian Kiili'}, {'name': 'Manuel Ninaus'}, {'name': 'Panagiotis Petridis'}, {'name': 'Stephen Jarvis'}, {'name': 'Kam Star'}]",6 Feb 2023
Exploiting flat subspaces in local search for p-Center problem and two fault-tolerant variants,https://pureportal.coventry.ac.uk/en/publications/exploiting-flat-subspaces-in-local-search-for-p-center-problem-an,[{'name': 'Seyed R. Mousavi'}],Jan 2023
Human-in-the-loop machine learning with applications for population health,https://pureportal.coventry.ac.uk/en/publications/human-in-the-loop-machine-learning-with-applications-for-populati,"[{'name': 'Long Chen', 'link': 'https://pureportal.coventry.ac.uk/en/persons/long-chen'}, {'name': 'Jiangtao Wang'}, {'name': 'Bin Guo'}, {'name': 'Liming Chen'}]",Mar 2023
Hydro-morphodynamic modelling of mangroves imposed by tidal waves using finite element discontinuous Galerkin method,https://pureportal.coventry.ac.uk/en/publications/hydro-morphodynamic-modelling-of-mangroves-imposed-by-tidal-waves,"[{'name': 'Majdi Fanous', 'link': 'https://pureportal.coventry.ac.uk/en/persons/majdi-fanous'}, {'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Jonathan M. Eden', 'link': 'https://pureportal.coventry.ac.uk/en/persons/jonathan-eden'}, {'name': 'Vasile Palade', 'link': 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade'}, {'name': 'Renji Remesan'}]",28 Mar 2023
Indonesian 2013 Curriculum Ten Years On: Impact on Mathematics Teaching,https://pureportal.coventry.ac.uk/en/publications/indonesian-2013-curriculum-ten-years-on-impact-on-mathematics-tea,"[{'name': 'Duncan Lawson', 'link': 'https://pureportal.coventry.ac.uk/en/persons/duncan-lawson'}, {'name': 'Rosida Rakhmawati Muhammad', 'link': 'https://pureportal.coventry.ac.uk/en/persons/rosida-rakhmawati-muhammad'}, {'name': 'Farzana Aslam', 'link': 'https://pureportal.coventry.ac.uk/en/persons/farzana-aslam'}, {'name': 'Megan Crawford', 'link': 'https://pureportal.coventry.ac.uk/en/persons/megan-crawford'}]",15 Jun 2023
Modeling intrinsic factors of inclusive engagement in Citizen Science: Insights from the participants’ survey analysis of CSI-COP,https://pureportal.coventry.ac.uk/en/publications/modeling-intrinsic-factors-of-inclusive-engagement-in-citizen-sci,"[{'name': 'Huma Shah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/huma-shah'}, {'name': 'Jaimz Winter', 'link': 'https://pureportal.coventry.ac.uk/en/persons/jaimz-stuart-winter'}, {'name': 'Shlomit Hadad'}, {'name': 'Maayan Zhitomirsky-geffet'}, {'name': 'Dorottya Rigler'}, {'name': 'Ulrico Celentano'}, {'name': 'Henna Tiensuu'}, {'name': 'Juha Röning'}, {'name': 'Jordi Vallverdú'}, {'name': 'Eva Jove Casabella'}, {'name': 'Olga Stepankova'}, {'name': 'Yannis Gialelis'}, {'name': 'Konstantina Lantavou'}, {'name': 'Tiberius Ignat'}, {'name': 'Giacomo Demetrio Masone'}, {'name': 'Marica Dumitrasco'}]",28 Nov 2023
Parameters influencing pedestrian injury and severity: A systematic review and meta-analysis,https://pureportal.coventry.ac.uk/en/publications/parameters-influencing-pedestrian-injury-and-severity-a-systemati,"[{'name': 'Vadhiraj Shrinivas', 'link': 'https://pureportal.coventry.ac.uk/en/persons/vadhiraj-shrinivas'}, {'name': 'Christophe Bastien', 'link': 'https://pureportal.coventry.ac.uk/en/persons/christophe-bastien'}, {'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Huw Davies', 'link': 'https://pureportal.coventry.ac.uk/en/persons/huw-davies'}, {'name': 'Joseph Hardwicke'}]",Mar 2023
Physics Informed Neural Networks To Model The Hydro-Morphodynamics Of Mangrove Environments,https://pureportal.coventry.ac.uk/en/publications/physics-informed-neural-networks-to-model-the-hydro-morphodynamic,"[{'name': 'Majdi Fanous', 'link': 'https://pureportal.coventry.ac.uk/en/persons/majdi-fanous'}, {'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Jonathan Eden', 'link': 'https://pureportal.coventry.ac.uk/en/persons/jonathan-eden'}, {'name': 'Vasile Palade', 'link': 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade'}, {'name': 'Juntao Yang'}, {'name': 'Simon See'}]",Oct 2023
Stakeholders’ impact on the reuse potential of structural elements at the end-of-life of a building: A machine learning approach,https://pureportal.coventry.ac.uk/en/publications/stakeholders-impact-on-the-reuse-potential-of-structural-elements,"[{'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Kambiz Rakhshan'}, {'name': 'Jean-Claude Morel'}]",1 Jul 2023
Developing Graph Convolutional Networks and Mutual Information for Arrhythmic Diagnosis Based on Multichannel ECG Signals,https://pureportal.coventry.ac.uk/en/publications/developing-graph-convolutional-networks-and-mutual-information-fo,"[{'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Bahare Andayeshgar'}, {'name': 'Fardin Abdali-Mohammadi'}, {'name': 'Majid Sepahvand'}, {'name': 'Afshin Almasi'}, {'name': 'Nader Salari'}]",28 Aug 2022
Gaussian Process Emulation of Spatio-temporal Outputs of a 2D Inland Flood Model,https://pureportal.coventry.ac.uk/en/publications/gaussian-process-emulation-of-spatio-temporal-outputs-of-a-2d-inl,"[{'name': 'James Donnelly', 'link': 'https://pureportal.coventry.ac.uk/en/persons/james-donnelly'}, {'name': 'Omid Chatrabgoun', 'link': 'https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun'}, {'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Soroush Abolfathi'}, {'name': 'Jonathan Pearson'}]",15 Oct 2022
Institutional Data Analysis and Machine Learning Prediction of Student Performance,https://pureportal.coventry.ac.uk/en/publications/institutional-data-analysis-and-machine-learning-prediction-of-st,"[{'name': 'Rachid Anane', 'link': 'https://pureportal.coventry.ac.uk/en/persons/rachid-anane'}, {'name': 'Rahanatu Suleiman'}]",20 May 2022
Predicting Primary Sequence-Based Protein-Protein Interactions Using a Mercer Series Representation of Nonlinear Support Vector Machine,https://pureportal.coventry.ac.uk/en/publications/predicting-primary-sequence-based-protein-protein-interactions-us,"[{'name': 'Omid Chatrabgoun', 'link': 'https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun'}, {'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}, {'name': 'Mohsen Esmaeilbeigi'}, {'name': 'Nader Sohrabi Safa'}, {'name': 'Ali H. Alenezi'}, {'name': 'Arafatur Rahman'}]",1 Dec 2022
Social Explainability of AI: The Impact of Non-Technical Explanations on Trust,https://pureportal.coventry.ac.uk/en/publications/social-explainability-of-ai-the-impact-of-non-technical-explanati,"[{'name': 'Bianca Slocombe', 'link': 'https://pureportal.coventry.ac.uk/en/persons/bianca-slocombe'}, {'name': 'Beate Grawemeyer', 'link': 'https://pureportal.coventry.ac.uk/en/persons/beate-grawemeyer'}, {'name': 'Frens Kroeger'}, {'name': 'Isa Inuwa-Dutse'}, {'name': 'Baker Kagimu'}, {'name': 'Umang Bhatt'}]",23 Jul 2022
Transfer Learning based Classification of Diabetic Retinopathy on the Kaggle EyePACS dataset,https://pureportal.coventry.ac.uk/en/publications/transfer-learning-based-classification-of-diabetic-retinopathy-on,"[{'name': 'Maria Tariq', 'link': 'https://pureportal.coventry.ac.uk/en/persons/maria-tariq'}, {'name': 'Vasile Palade', 'link': 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade'}, {'name': 'YingLiang Ma'}]",15 Nov 2022
Using Physics-informed Neural Networks to Model the Hydro-morphodynamics of Mangrove Environments,https://pureportal.coventry.ac.uk/en/publications/using-physics-informed-neural-networks-to-model-the-hydro-morphod,"[{'name': 'Majdi Fanous', 'link': 'https://pureportal.coventry.ac.uk/en/persons/majdi-fanous'}, {'name': 'Jonathan Eden', 'link': 'https://pureportal.coventry.ac.uk/en/persons/jonathan-eden'}, {'name': 'Vasile Palade', 'link': 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade'}, {'name': 'Alireza Daneshkhah', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'}]",9 Dec 2022
Quality-Gauranteed Traditionally-sensed Areas Selection in Compressive Population Health,https://pureportal.coventry.ac.uk/en/publications/quality-gauranteed-traditionally-sensed-areas-selection-in-compre,"[{'name': 'Long Chen', 'link': 'https://pureportal.coventry.ac.uk/en/persons/long-chen'}]",2021
